epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,532.007,0.68188,0.84286,1,0.48518,0.00028339,0.00028339,0.00028339
2,1158.52,0.41414,0.88571,1,0.22579,0.000525688,0.000525688,0.000525688
3,2183.16,0.23501,0.92857,1,0.11515,0.000708575,0.000708575,0.000708575
4,2968.15,0.12553,0.98571,1,0.02899,0.00083205,0.00083205,0.00083205
5,3455.59,0.08639,0.98571,1,0.06671,0.000896113,0.000896113,0.000896113
6,6613.38,0.18799,1,1,0.04708,0.000841835,0.000841835,0.000841835
7,7136.66,0.09268,0.97143,1,0.05846,0.000676802,0.000676802,0.000676802
8,7634.04,0.09282,0.98571,1,0.04883,0.000511769,0.000511769,0.000511769
9,9792.02,0.07704,0.98571,1,0.04932,0.000346736,0.000346736,0.000346736
10,10124,0.06334,0.95714,1,0.07178,0.000181703,0.000181703,0.000181703
